"¿Has escuchado o visto alguna promoción llamada ""Night Sale"" de fybeca.com?","Según tu conocimiento, ¿cuándo aplica la promoción Night Sale de fybeca.com?","¿Has comprado en fybeca.com durante Night Sale?","¿Con qué frecuencia compras aprovechando Night Sale?","¿Por cuál de estos canales has generado más compras durante Night Sale?","¿Cómo calificarías tu experiencia de compra durante la Night Sale? ¿Por qué?","Del 1 al 5, ¿qué tanto recomendarías a alguien comprar en Night Sale?","¿Por qué no has comprado en Night Sale?",Ciudad:
Sí,Viernes,Sí,"Una vez al mes",App,"Muy satisfactoria",5,,Guayaquil
Sí,Sábados,No,,,,,"Porque no he puedo atención a las promociones",Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Ecuador
No,,,,,,,,QUITO
No,,,,,,,,Quito
No,,,,,,,,Guayas
No,,,,,,,,Quito
No,,,,,,,,Naranjal
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaqyil
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
Sí,Domingos,No,,,,,"Me resulta mejor las comprar en persona porque no tienen los productos en línea en stock","Sangster robles"
No,,,,,,,,Daule
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,5,,Quito
No,,,,,,,,QUITO
No,,,,,,,,QUITO
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,"Quito Ecuador"
No,,,,,,,,Quito
No,,,,,,,,"Sucua morona santiago"
No,,,,,,,,"Sucua morona santiago"
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",App,"Muy satisfactoria",5,,Latacunga
No,,,,,,,,Samborondón
No,,,,,,,,"Chávez Cujilan"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Jueves,Sí,Ocasionalmente,App,Satisfactoria,4,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Lunes,No,,,,,"No he tenido la oportunidad",Quito
No,,,,,,,,"El Milagro -Guayas-Ecuador"
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,5,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Miércoles,No,,,,,"Porque coincide que estado trabajando y ya no eh alcanzado comprar",Quito
No,,,,,,,,Quito
No,,,,,,,,Nararjal
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Sangolqui
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,duran
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Lunes,Sí,Ocasionalmente,App,Satisfactoria,5,,Guayaquil
Sí,Lunes,Sí,"Una vez al mes",App,Satisfactoria,4,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,Web,Insatisfactoria,4,,Quito
Sí,Martes,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,"Santo domingo de los Sta hila"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,13492396
Sí,Lunes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,Orellana
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,3,,Quito
Sí,Viernes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Guayaquil
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",4,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,5,,Guayaquil
No,,,,,,,,"Parroquia Macuma, Taisha, Morona Santiago"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Posorja
No,,,,,,,,Guayaquil
No,,,,,,,,Montecristi
No,,,,,,,,Quito
No,,,,,,,,Cotacachi
No,,,,,,,,Cotacachi
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,"San Miguel de los bancos - Pichincha"
No,,,,,,,,Ibarra
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,"Pesantes Andrade"
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",1,,Guayaquil
Sí,Sábados,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,"Esmeraldas Ecuador Atacames La Unión."
No,,,,,,,,Guayaqul
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,4,,Quito
Sí,Lunes,Sí,"Una vez al mes",App,"Muy satisfactoria",1,,MILAGRO
No,,,,,,,,Milagro
No,,,,,,,,Milagro
Sí,Miércoles,No,,,,,"No e tenido tiempo",Guayaqui
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Porque bo he tenido la necesidad de ir a la farmacia",Quito
Sí,Lunes,No,,,,,"Por que en ese momento no he tenido la oportunidad de comprar",Quito
Sí,Viernes,No,,,,,"Por q estoy lejos de la farmacia",Quito
Sí,Martes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,"QUITO GUAYLLABAMBA"
Sí,Sábados,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Rangel
No,,,,,,,,Ambato
Sí,Martes,No,,,,,"Por qué no e necesario este mes adquiri mis productos el anterior mes",Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Quieto
No,,,,,,,,Quito
Sí,Martes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaqui
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,Satisfactoria,5,,Manta
Sí,Jueves,No,,,,,"Porque no me justa lo que no conosco",Guayaquil
No,,,,,,,,0940643497
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,0921655312
Sí,Sábados,Sí,Ocasionalmente,App,Satisfactoria,5,,Gutierres
No,,,,,,,,Guayaquil
No,,,,,,,,Sangolqui
Sí,Martes,No,,,,,"Porque está lejos de mi casa",Quito
No,,,,,,,,Quito
Sí,Jueves,No,,,,,"No e comprado",Duran
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayas
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Lunes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,"Santo Domingo de los tsachilas"
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Viernes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Quito
Sí,Jueves,No,,,,,"Me olvidó de hacerlo",Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Guayaquil
Sí,Miércoles,Sí,Ocasionalmente,App,Regular,5,,Quito
No,,,,,,,,Quito
Sí,Jueves,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,"Loja Ecuador"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Sábados,No,,,,,"Por que nose",Guayaquil
No,,,,,,,,Quito
Sí,Lunes,Sí,"Una vez al mes",Web,Satisfactoria,5,,"Quito puembo"
Sí,Lunes,Sí,"Una vez al mes",Web,Satisfactoria,4,,"Guayaquil ecuador"
No,,,,,,,,Quito
Sí,Viernes,Sí,"Una vez al mes",App,Satisfactoria,4,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"No me parece un horario adecuado",Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,Satisfactoria,4,,Quito
Sí,Martes,Sí,"Todos los martes",App,Satisfactoria,4,,Quito
Sí,Jueves,No,,,,,"No he tenido tiempo",Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Duran
Sí,Miércoles,Sí,"Una vez al mes",Web,Satisfactoria,5,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Jueves,Sí,Ocasionalmente,Web,"Muy insatisfactoria",5,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Xq me gusta visitar la farmacia",Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Tumbaco
No,,,,,,,,Quito
No,,,,,,,,"Pedro Vicente Maldonado"
Sí,Martes,Sí,"Una vez al mes",Web,Satisfactoria,4,,Pastás
Sí,Martes,No,,,,,"No he podido alcanzar las ☹️",Guayaquil
No,,,,,,,,Quito
Sí,Martes,No,,,,,"Solo compro lo necesario",Quito
Sí,Sábados,No,,,,,"Por qué no me alcanza el dinero para comprar",Guayaquil
Sí,Sábados,No,,,,,"Por qué no me alcanza el dinero para comprar",Guayaquil
Sí,Viernes,No,,,,,"No he tenido tiempo",Quito
Sí,Martes,No,,,,,"No he tenido la oportunidad",Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,QUITO
Sí,Martes,No,,,,,"Porque la medicación que busco no encuentro en la web de fybecca",Sangolqui
No,,,,,,,,Guayaquil
No,,,,,,,,Ambato
Sí,Lunes,Sí,Ocasionalmente,App,Regular,5,,Quito
No,,,,,,,,"Quevedo ecuador"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Domingos,No,,,,,"No e ido",Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,Web,Regular,3,,Quito
No,,,,,,,,Ecuador
No,,,,,,,,"san lorenzo"
Sí,Martes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,Durán
No,,,,,,,,"Jipijapa Manabí"
No,,,,,,,,Peña
No,,,,,,,,Quitó
No,,,,,,,,Quito
Sí,Martes,Sí,"Todos los martes",Web,Satisfactoria,4,,Quito
Sí,Martes,No,,,,,"No e tenido la oportunidad",Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",App,Satisfactoria,4,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Quito
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Riobamba
Sí,Lunes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
Sí,Martes,Sí,"Todos los martes",Web,Regular,3,,Quito
No,,,,,,,,Romero
Sí,Lunes,Sí,Ocasionalmente,App,Satisfactoria,4,,Quito
No,,,,,,,,"Pichincha Quito alangasi"
Sí,Viernes,No,,,,,"No he tomado asunto",Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Quito
Sí,Lunes,Sí,Ocasionalmente,App,"Muy insatisfactoria",5,,Esmeraldas
No,,,,,,,,Quito
Sí,Martes,No,,,,,"No he tenido la plata",Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,Satisfactoria,4,,Guayaquil
No,,,,,,,,Venezuela
No,,,,,,,,Sangolqui
No,,,,,,,,quito
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Vivo cerca de.una fybeca. Voy a pie",Guayaquil
No,,,,,,,,Quito
Sí,Martes,No,,,,,"Vivo a media cuadra de una Fybeca. Es !as rápido ir directp",Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Tabacundo
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,Satisfactoria,4,,Samborondon
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
No,,,,,,,,GUAYAQUIL
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Yaguchi
No,,,,,,,,Ibarra
Sí,Martes,No,,,,,"Porque no tenía claro el horario",Guayaquil
No,,,,,,,,Quito
Sí,Viernes,No,,,,,"No he tenido la necesidad",Guayaquil
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
